top - 20:08:01 up 36 min,  1 user,  load average: 0.40, 0.11, 0.04
Tasks: 277 total,   1 running, 276 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,100.0 sy,  0.0 ni,  0.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   1932.4 total,    114.7 free,   1382.7 used,    613.8 buff/cache     
MiB Swap:    975.0 total,    913.0 free,     62.0 used.    549.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   1785 kali      20   0  413696  27132  17808 S   0.0   1.4   0:00.07 gsd-wac+
   1791 kali      20   0  231792   6088   5044 S   0.0   0.3   0:00.01 gsd-dis+
   1807 kali      20   0  142888  38024  27436 S   0.0   1.9   0:01.56 vmtoolsd
   1813 kali      20   0 1025736 111380  51592 S   0.0   5.6   0:00.90 gnome-s+
   1819 kali      20   0 1106348  75004  47460 S   0.0   3.8   0:00.26 evoluti+
   1885 kali      20   0 2465284  29300  20376 S   0.0   1.5   0:00.05 gjs
   1908 kali      20   0  815524  26824  18104 S   0.0   1.4   0:00.08 evoluti+
   1975 kali      20   0  160648   7256   6672 S   0.0   0.4   0:00.00 ibus-me+
   1986 kali      20   0  342116  19536  13456 S   0.0   1.0   0:00.01 gsd-pri+
   1992 kali      20   0  345288  30952  18468 S   0.0   1.6   0:00.74 ibus-ex+
   2006 kali      20   0  234424   9520   6836 S   0.0   0.5   0:00.01 ibus-po+
   2034 kali      20   0  160140   8304   5908 S   0.0   0.4   0:00.01 gvfsd-m+
   2035 kali      20   0  229584  66208  50692 S   0.0   3.3   0:00.13 Xwayland
   2041 kali      20   0  745020  30704  20972 S   0.0   1.6   0:00.13 evoluti+
   2050 kali      20   0  160648   9312   6664 S   0.0   0.5   0:00.36 ibus-en+
   2064 kali      20   0  621912  16156  10272 S   0.0   0.8   0:00.06 xdg-des+
   2103 kali      20   0  534364   9012   6608 S   0.0   0.5   0:00.01 xdg-doc+
   2127 root      20   0    2484    944    852 S   0.0   0.0   0:00.00 fusermo+
   2130 kali      20   0  668864  38136  25500 S   0.0   1.9   0:00.09 xdg-des+
   2152 kali      20   0  553276  87488  66704 S   0.0   4.4   0:00.09 gsd-xse+
   2183 kali      20   0  344708  28340  22872 S   0.0   1.4   0:00.04 xdg-des+
   2205 kali      20   0  156460   7632   5072 S   0.0   0.4   0:00.00 dconf-s+
   2209 kali      20   0  190696  21364  16652 S   0.0   1.1   0:00.01 ibus-x11
   2225 root      20   0       0      0      0 I   0.0   0.0   0:00.24 kworker+
   3071 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
   3099 root      20   0       0      0      0 I   0.0   0.0   0:00.57 kworker+
   3100 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   3115 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker+
   3137 root      20   0       0      0      0 I   0.0   0.0   0:00.02 kworker+
